2024-04-14 13:22:51.724 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-04-14 13:22:51.724 [info] Added views:workbench.panel.output in workbench.panel.output
2024-04-14 13:22:51.724 [info] Added views:terminal in terminal
2024-04-14 13:22:51.724 [info] Added views:outline in workbench.view.explorer
2024-04-14 13:22:51.724 [info] Added views:workbench.scm in workbench.view.scm
2024-04-14 13:22:51.724 [info] Added views:workbench.view.search in workbench.view.search
2024-04-14 13:22:51.724 [info] Added views:timeline in workbench.view.explorer
2024-04-14 13:22:51.724 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-04-14 13:22:52.011 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 13:22:52.523 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-04-14 13:22:53.161 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-04-14 13:22:53.255 [info] Added views:dartDependencyTree in workbench.view.explorer
2024-04-14 13:22:53.263 [info] Added views:dartFlutterSidebar,dartFlutterOutline in workbench.view.extension.flutter
2024-04-14 13:22:54.885 [info] Added views:javaProjectExplorer in workbench.view.explorer
2024-04-14 13:23:00.871 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-04-14 13:47:43.187 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-04-14 13:47:43.212 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-04-14 13:47:46.855 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-04-14 13:47:46.863 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-04-14 14:01:31.107 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-04-14 14:01:32.375 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:01:32.379 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 14:03:01.599 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 14:03:01.601 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 14:03:06.918 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:03:06.922 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 14:05:46.285 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 14:05:46.294 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 14:06:18.651 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:06:18.655 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 14:08:33.233 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 14:08:33.238 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 14:08:43.906 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:08:43.908 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 14:10:08.753 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 14:10:08.757 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 14:10:16.860 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:10:16.864 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 14:10:43.026 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 14:10:43.034 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 14:10:47.731 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:10:47.735 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 14:17:34.428 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 14:17:34.430 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 14:17:39.744 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 14:17:39.751 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 15:45:42.315 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 15:45:42.327 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 15:46:03.880 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-04-14 15:46:03.884 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-04-14 16:12:06.809 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-04-14 16:12:06.812 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-04-14 16:12:17.910 [info] Removed views:workbench.debug.welcome from workbench.view.debug
